Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
0.989743	0.957058	0.695168	0.592889
1	1	1	1
1	0.952441	0.643417	0.68741
0.918167	0.688847	0.705291	0.813665
0.818144	0.632666	0.771927	0.821738
0.745356	0.682558	0.573368	0.680435
0.88302	0.881865	0.630905	0.599642
0.942809	0.877383	0.747674	0.673454
1	1	0.75	0.629961
1	1	0.745356	0.745356
0.942809	0.942809	0.666667	0.722284
1	1	0.57496	0.57496
0.894539	0.835142	0.619536	0.661676
0.609648	0.635552	0.673761	0.794225
0.979866	0.827169	0.694731	0.670755
0.745356	0.745356	0.542812	0.587717
0.793701	0.771541	0.613122	0.691526
0.745356	0.710312	0.690174	0.644715
0.630837	0.842826	0.763189	0.665788
0.57496	0.57496	0.412523	0.446975
1	1	1	1
0.661438	0.684663	0.371383	0.545355
0.912811	0.971889	0.589442	0.593535
0.9615	0.963674	0.673323	0.603663
0.93217	0.887885	0.816017	0.662807
0.916515	0.779431	0.768887	0.7923
0.880505	0.838045	0.604793	0.708953
0.968246	0.94211	0.724562	0.67539
0.84265	0.778893	0.675102	0.681902
0.530326	0.725146	0.565089	0.757256
0.866025	0.916486	0.66709	0.714412
0.866025	0.793701	0.617119	0.550218
0.84265	0.778893	0.730897	0.806901
0.765778	0.681321	0.553698	0.567997
0.760211	0.894457	0.573903	0.611807
1	1	0.661438	0.684663
0.593929	0.484702	0.551952	0.460682
0.894334	0.917641	0.531883	0.540697
0.661438	0.684663	0.604222	0.697906
0.866025	0.866025	0.785692	0.692567
0.88913	0.8857	0.622946	0.631225
1	1	0.771389	0.785061
0.8	0.942809	0.540797	0.580595
0.647505	0.655812	0.57585	0.617812
0.57496	0.57496	0.412523	0.446975
0.851035	0.732227	0.68933	0.749898
0.5	0.5	0.5	0.5
0.86535	0.841114	0.608878	0.585157
1	1	0.8	0.942809
1	0.947323	0.804067	0.738097
0.73217	0.617403	0.620704	0.769971
1	1	0.745356	0.778644
0.912811	0.971889	0.589442	0.593535
0.745356	0.778644	0.557108	0.631681
0.6	0.624512	0.3315	0.423262
0.957917	0.87749	0.584793	0.733618
0.993808	0.940151	0.719445	0.824115
0.903726	0.907552	0.657442	0.697764
0.968246	0.963322	0.713699	0.610225
0.667671	0.8063	0.574835	0.424694
1	0.957058	0.728369	0.921485
0.665836	0.512495	0.768522	0.725146
0.927719	0.839431	0.697573	0.675433
0.633775	0.683479	0.673897	0.5093
0.942809	0.964399	0.599353	0.813841
0.778765	0.727715	0.661888	0.524088
1	1	0.57496	0.57496
1	1	1	1
0.745356	0.742751	0.627768	0.657162
